hostname,score,sources,label,level,http_status,mx
parcan.es,7,wikidata;wikidata,Canarian Parliament,central-1,301,10 mxa-008e9701.gslb.pphosted.com.; 10 mxb-008e9701.gslb.pphosted.com.
parlamentib.es,7,wikidata;wikidata,Parliament of the Balearic Islands,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 parlamentib-es.mail.protection.outlook.com.
parlamento-cantabria.es,7,wikidata;wikidata,Parliament of Cantabria,central-1,200,10 mx01.hornetsecurity.com.; 40 mx04.hornetsecurity.com.; 20 mx02.hornetsecurity.com.; 30 mx03.hornetsecurity.com.
parlamentodeandalucia.es,7,wikidata;wikidata,Parliament of Andalusia,central-1,ConnectException,30 mx3.parlamentodeandalucia.es.; 10 dns1.parlamentodeandalucia.es.
parlamentodenavarra.es,7,wikidata;wikidata,Parliament of Navarre,central-1,403,40 mx03.hornetsecurity.com.; 20 mx01.hornetsecurity.com.; 30 mx02.hornetsecurity.com.; 10 mx04.hornetsecurity.com.
participacio.gva.es,7,wikidata;wikidata,"Conselleria de Justícia, Transparencia y Participación",central-1,HttpConnectTimeoutException: HTTP connect timed out,none
poderjudicial.es,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;linkgraph,High Court of Justice of Andalusia | High Court of Justice of Extremadura | High Court of Justice of Catalonia | High Court of Justice of Castile and León | High Court of Justice of the Canary Islands | High Court of Justice of the Region of Murcia | High Court of Justice of Aragon | General Council of the Judiciary | High Court of Justice of Cantabria | High Court of Justice of Galicia | Second Chamber of the Supreme Court of Spain | High Court of Justice of the Balearic Islands | National Court of Spain | High Court of Justice of Asturias | High Court of Justice of Madrid | Supreme Court of Spain | High Court of Justice of the Land of Valencia | High Court of Justice of Navarre | High Court of Justice of the Basque Country | High Court of Justice of La Rioja,central,HttpConnectTimeoutException: HTTP connect timed out,5 poderjudicial-es.mail.protection.outlook.com.
policia.es,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,National Police Corps of Spain | Brigada de Investigación Tecnológica | Directorate-General of the Police | General Commissariat of Information | General Commissariat of Judiciary Police,central,301,10 mxa-00825801.gslb.pphosted.com.; 10 mxb-00825801.gslb.pphosted.com.
politicaterritorial.gva.es,7,wikidata;wikidata,Q105393783,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
presidencia.gencat.cat,7,wikidata;wikidata;wikidata;wikidata,Institute for Self-Government Studies | Ministry of the Presidency of the Government of Catalonia,central-1,301,none
proteccioncivil.es,7,wikidata;wikidata,Directorate-General for Civil Protection and Emergencies | General Secretariat for Civil Protection and Emergencies,central,ConnectException,0 proteccioncivil-es.mail.protection.outlook.com.
realbiblioteca.es,7,wikidata;wikidata,Royal Library of Madrid,,200,10 mail.realbiblioteca.es.
san.gva.es,7,wikidata;wikidata;wikidata,Q8191347 | Conselleria de Sanitat,central-1,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,5 mxext.gva.es.
sedelectronica.es,7,linkgraph,Linked from 27 public-sector domains,,302,10 inbound-smtp.eu-west-1.amazonaws.com.
sergas.es,7,wikidata;wikidata,Q56055106 | Estructura Organizativa de Xestión Integrada de Vigo,,301,10 mail01.sergas.es.; 10 mail02.sergas.es.
sspa.juntadeandalucia.es,7,wikidata;wikidata,Andalusian Agency for Healthcare Quality | Servicio Andaluz de Salud,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
traballoebenestar.xunta.es,7,wikidata;wikidata,"Consellería de Economía, Emprego e Industria",central-1,ConnectException,none
www3.ibv.csic.es,7,wikidata;wikidata,Instituto de Biomedicina de Valencia,,ConnectException,none
agaur.gencat.cat,6,wikidata;wikidata,Agency for Administration of University and Research,,301,none
apfsc.com,6,wikidata;wikidata,Port Authority of Ferrol-San Cibrao,,301,10 apfsc-com.mail.protection.outlook.com.
apmarin.com,6,wikidata;wikidata,Port Authority of Marín and Ría de Pontevedra,,200,0 apmarin-com.mail.protection.outlook.com.
araba.eus,6,wikidata;wikidata,Álava Foral Council,,302,20 arabaeus.in.tmes.trendmicro.eu.
bngipuzkoa.eus,6,wikidata;wikidata,General Assemblies of Gipuzkoa,,SSLHandshakeException: (handshake_failure) received handshake warning: unrecognized_name,5 mxb-00a9a302.gslb.pphosted.com.; 5 mxa-00a9a302.gslb.pphosted.com.
camaravalencia.com,6,wikidata;wikidata,Valencia Chamber of Commerce,,301,40 camaravalencia-com.mail.protection.outlook.com.; 20 d341304.b.ess.de.barracudanetworks.com.; 10 d341304.a.ess.de.barracudanetworks.com.; 30 mx.s2grupo.es.
catsalut.gencat.cat,6,wikidata;wikidata,CatSalut | Servei Trànsit,,301,none
ceei.xunta.gal,6,wikidata;wikidata,"Ministry of Economy and Industry, Galicia",central-1,302,none
culturadigital.blog.gencat.cat,6,wikidata;wikidata,Q120542741,,200,none
dominicoshispania.org,6,wikidata;wikidata,Province of Hispania of the Order of Preachers,,301,100 correo.dominicos.org.; 105 mxbackup.mad.interhost.com.
dretssocials.gencat.cat,6,wikidata;wikidata;wikidata,Departament de Drets Socials de la Generalitat de Catalunya | Institut Català de l'Acolliment i de l'Adopció,central-1,301,none
edu.xunta.gal,6,wikidata;wikidata,"Consellería de Cultura, Educación e Ordenación Universitaria",central-1,302,10 smtp.edu.xunta.gal.
