subdomain,parent_domain,http_status,mx
cpanel.puneruralpolice.gov.in,gov.in,Operation timed out after 3001 milliseconds with 0 bytes received,none
cpanel.ranaghat.gov.in,gov.in,200,none
cpanel.rdlawngtlai.mizoram.gov.in,gov.in,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading,none
cpanel.regn.nbe.gov.in,gov.in,Could not resolve host: cpanel.regn.nbe.gov.in,none
cpanel.results.nbe.gov.in,gov.in,Could not resolve host: cpanel.results.nbe.gov.in,none
cpanel.rnk.nbe.gov.in,gov.in,Could not resolve host: cpanel.rnk.nbe.gov.in,none
cpanel.scholarships.mizoram.gov.in,gov.in,Could not resolve host: cpanel.scholarships.mizoram.gov.in,none
cpanel.schooledu.secretariat.mizoram.gov.in,gov.in,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading,none
cpanel.shar.gov.in,gov.in,Resolving timed out after 3000 milliseconds,none
cpanel.srlm.mizoram.gov.in,gov.in,Could not resolve host: cpanel.srlm.mizoram.gov.in,50 mx3.mgovcloud.in.; 10 mx.mgovcloud.in.; 20 mx2.mgovcloud.in.
cpanel.tbboard.gov.in,gov.in,Could not resolve host: cpanel.tbboard.gov.in,none
cpanel.tms.mpanashik.gov.in,gov.in,Could not resolve host: cpanel.tms.mpanashik.gov.in,none
cpc.eoffice.egov.in,gov.in,Could not resolve host: cpc.eoffice.egov.in,none
cpc.eoffice.gov.in,gov.in,Could not resolve host: cpc.eoffice.gov.in,none
cpcletenders.gov.in,gov.in,Could not resolve host: cpcletenders.gov.in,none
cpct.mp.gov.in,gov.in,Could not resolve host: cpct.mp.gov.in,none
crlindia.gov.in,gov.in,Connection timed out after 3001 milliseconds,none
crm.umang.gov.in,gov.in,200,none
csbrecaizawl.mizoram.gov.in,gov.in,403,none
