domain,level,source,name
wbhousing.gov.in,central-1,manual,Housing Department (West Bengal)
wbifms.gov.in,central-1,manual,Integrated Financial Management System (West Bengal)
wbisgpp.gov.in,central-1,manual,Institutional Strengthening of Gram Panchayats Programme (West Bengal)
wbkanyashree.gov.in,central-1,manual,Kanyashree Prakalpa (West Bengal)
wblc.gov.in,central-1,manual,Labour Commissionerate (West Bengal)
wbpds.gov.in,central-1,manual,Public Distribution System (West Bengal)
wbphed.gov.in,central-1,manual,Public Health Engineering Department (West Bengal)
wbregistration.gov.in,central-1,manual,Directorate of Registration and Stamp Revenue (West Bengal)
wbsed.gov.in,central-1,manual,School Education Department (West Bengal)
wbtdc.gov.in,central-1,manual,West Bengal Tourism Development Corporation
wbtenders.gov.in,central-1,manual,West Bengal e-procurement
wburbandev.gov.in,central-1,manual,Urban Development Department (West Bengal)
westbengal.gov.in,central-1,manual,West Bengal
