domain,type,organization
foreignfundinghighered.gov,Federal - Executive,Department of Education
forestsandrangelands.gov,Federal - Executive,Department of Agriculture
forfeiture.gov,Federal - Executive,Department of Justice
forms.gov,Federal - Executive,General Services Administration
fosteringthefuture.gov,Federal - Executive,Department of Health and Human Services
fosteringthefuturetogether.gov,Federal - Executive,Executive Office of the President
fpc.gov,Federal - Executive,General Services Administration
fpds.gov,Federal - Executive,General Services Administration
fpi.gov,Federal - Executive,Department of Justice
fpisc.gov,Federal - Executive,Federal Permitting Improvement Council
fpki-lab.gov,Federal - Executive,General Services Administration
fpki.gov,Federal - Executive,General Services Administration
fraho.gov,Federal - Executive,.gov Administration
frb.gov,Federal - Executive,Board of Governors of the Federal Reserve
frc.gov,Federal - Executive,National Archives and Records Administration
freedom.gov,Federal - Executive,Executive Office of the President
frs.gov,Federal - Executive,Board of Governors of the Federal Reserve
frtib.gov,Federal - Executive,Federal Retirement Thrift Investment Board
frtibtest.gov,Federal - Executive,Federal Retirement Thrift Investment Board
frtr.gov,Federal - Executive,Environmental Protection Agency
fruitsandveggiesmatter.gov,Federal - Executive,Department of Health and Human Services
fsafeds.gov,Federal - Executive,Office of Personnel Management
fsd.gov,Federal - Executive,General Services Administration
fsgb.gov,Federal - Executive,Department of State
fso.gov,Federal - Executive,Department of State
fsoc.gov,Federal - Executive,Department of the Treasury
fsrs.gov,Federal - Executive,General Services Administration
ftc.gov,Federal - Executive,Federal Trade Commission
fueleconomy.gov,Federal - Executive,Department of Energy
fvap.gov,Federal - Executive,Department of Defense
fws.gov,Federal - Executive,Department of the Interior
g5.gov,Federal - Executive,Department of Education
gao.gov,Federal - Legislative,Government Accountability Office
gaoinnovation.gov,Federal - Legislative,Government Accountability Office
gaoinnovationlab.gov,Federal - Legislative,Government Accountability Office
gaoinnovations.gov,Federal - Legislative,Government Accountability Office
gaonet.gov,Federal - Legislative,Government Accountability Office
gcmrc.gov,Federal - Executive,Department of the Interior
genome.gov,Federal - Executive,Department of Health and Human Services
geoplatform.gov,Federal - Executive,Department of the Interior
georgewbushlibrary.gov,Federal - Executive,National Archives and Records Administration
get.gov,Federal - Executive,Department of Homeland Security
getactive.gov,Federal - Executive,Department of Health and Human Services
getinternet.gov,Federal - Executive,Federal Communications Commission
getsmartaboutdrugs.gov,Federal - Executive,Department of Justice
ginniemae.gov,Federal - Executive,Department of Housing and Urban Development
girlshealth.gov,Federal - Executive,Department of Health and Human Services
givecfc.gov,Federal - Executive,Office of Personnel Management
glnpo.gov,Federal - Executive,Environmental Protection Agency
globalchange.gov,Federal - Executive,United States Global Change Research Program
globalentry.gov,Federal - Executive,Department of Homeland Security
globalhealth.gov,Federal - Executive,Department of Health and Human Services
globe.gov,Federal - Executive,National Aeronautics and Space Administration
glri.gov,Federal - Executive,Environmental Protection Agency
gmta.gov,Federal - Executive,Department of Health and Human Services
go.gov,Federal - Executive,General Services Administration
gobiernousa.gov,Federal - Executive,General Services Administration
godirect.gov,Federal - Executive,Department of the Treasury
goes-r.gov,Federal - Executive,Department of Commerce
goldwaterinternship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation
golearn.gov,Federal - Executive,Office of Personnel Management
goodjobs.gov,Federal - Executive,Department of Labor
