hostname,score,sources,label,level
ottawa.mfa.gov.hu,4,wikidata,"Embassy of Hungary, Ottawa",central
ourcommons.ca,4,wikidata,House of Commons,central
palestinegd.ca,4,wikidata,Palestinian General Delegation to Canada,central
police.barrie.on.ca,4,wikidata,Barrie Police Service,
police.guelph.on.ca,4,wikidata,Guelph Police Service,
police.sudbury.on.ca,4,wikidata,Greater Sudbury Police Service,
protectiveservices.ualberta.ca,4,wikidata,University of Alberta Protective Services,
prsd.ab.ca,4,wikidata,Peace River School Division No. 10,
psbgm.qc.ca,4,wikidata,Protestant School Board of Greater Montreal,
psd.ca,4,wikidata,Parkland School Division No. 70,
publicboard.ca,4,wikidata,Greater Essex County District School Board,
pwsb33.ab.ca,4,wikidata,Peace Wapiti School Division No. 76,
quebecinternational.ca,4,wikidata,Q3414831,
rainbowschools.ca,4,wikidata,Rainbow District School Board,
rapereliefshelter.bc.ca,4,wikidata,Vancouver Rape Relief & Women's Shelter,
rbe.sk.ca,4,wikidata,Regina Public Schools,
rccdsb.edu.on.ca,4,wikidata,Renfrew County Catholic District School Board,
rcmp.ca,4,wikidata,Royal Canadian Mounted Police,
regina.ca,4,wikidata,Regina Fire and Protective Services,
reginapolice.ca,4,wikidata,Regina Police Service,
reginapublicschools.ca,4,wikidata,Regina Public Schools,
researchmanitoba.ca,4,wikidata,Research Manitoba,
retsd.mb.ca,4,wikidata,River East Transcona School Division,
richmond.ca,4,wikidata,Richmond Fire Rescue Department,
rimuhc.ca,4,wikidata,Research Institute of the McGill University Health Centre,
rockyview.ab.ca,4,wikidata,Rocky View Schools Division,
rpc.ca,4,wikidata,Research and Productivity Council,
rtl-longueuil.qc.ca,4,wikidata,Réseau de transport de Longueuil,
sadc.ca,4,wikidata,Canada Deposit Insurance Corporation,
sahtudec.ca,4,wikidata,Sahtu Divisional Education Council,
saskartsboard.ca,4,wikidata,Saskatchewan Arts Board,
saskatoonpolice.ca,4,wikidata,Saskatoon Police Service,
saskhealthauthority.ca,4,wikidata,Saskatchewan Health Authority,
scdsb.on.ca,4,wikidata,Simcoe County District School Board,
scrca.on.ca,4,wikidata,St. Clair Region Conservation Authority,
sdtc.ca,4,wikidata,Sustainable Development Technology Canada,
securities-administrators.ca,4,wikidata,Canadian Securities Administrators,
sencanada.ca,4,wikidata,Senate of Canada,central
sharedhealthmb.ca,4,wikidata,Shared Health Manitoba,
siu.on.ca,4,wikidata,Special Investigations Unit,
skeenafisheries.ca,4,wikidata,Skeena Fisheries Commission,
sncdsb.on.ca,4,wikidata,Superior North Catholic District School Board,
solgps.alberta.ca,4,wikidata,Alberta Sheriff,
soquij.qc.ca,4,wikidata,Q55599916,
southafrica-canada.ca,4,wikidata,"High Commission of South Africa, Ottawa",central
sp.mofaic.gov.ae,4,wikidata,"Consulate General of the United Arab Emirates, Toronto",
specialareas.ab.ca,4,wikidata,Special Areas Board,
spvm.qc.ca,4,wikidata,Service de police de la Ville de Montréal,
src.sk.ca,4,wikidata,Saskatchewan Research Council,
sto.ca,4,wikidata,Société de transport de l'Outaouais,
studentaid.alberta.ca,4,wikidata,Alberta Student Aid,
sturgeon.ab.ca,4,wikidata,Sturgeon School Division No. 24,
sudburycatholicschools.ca,4,wikidata,Sudbury Catholic District School Board,
summerside.ca,4,wikidata,Summerside,
swineinnovationporc.ca,4,wikidata,Swine Innovation Porc,
taiguusiliuqtiit.ca,4,wikidata,Inuit Uqausinginnik Taiguusiliuqtiit,
tdsb.on.ca,4,wikidata,Toronto District School Board,
tfd.timmins.ca,4,wikidata,Timmins Fire Department,
tlicho.ca,4,wikidata,Tlicho Community Services Agency,
toronto.mfa.gov.hu,4,wikidata,"Consulate General of Hungary, Toronto",
torontopolice.on.ca,4,wikidata,Toronto Police Service,
tpsb.ca,4,wikidata,Toronto Police Services Board,
transitpolice.ca,4,wikidata,Metro Vancouver Transit Police,
ttc.ca,4,wikidata,Toronto Transit Commission,
tvdsb.ca,4,wikidata,Thames Valley District School Board,
ucdsb.on.ca,4,wikidata,Upper Canada District School Board,
ugdsb.on.ca,4,wikidata,Upper Grand District School Board,
vaughan.ca,4,wikidata,Vaughan Fire and Rescue Services,
vietnamembassy.ca,4,wikidata,embassy of Vietnam in Canada,central
ville.levis.qc.ca,4,wikidata,Q16676509,
ville.montreal.qc.ca,4,wikidata,Service de sécurité incendie de Montréal,
vsb.bc.ca,4,wikidata,Vancouver School Board,
wcb.ab.ca,4,wikidata,Workers Compensation Board of Alberta,
wcwc.ca,4,wikidata,Walkerton Clean Water Centre,
wecdsb.on.ca,4,wikidata,Windsor-Essex Catholic District School Board,
wellingtoncdsb.ca,4,wikidata,Wellington Catholic District School Board,
whscc.nl.ca,4,wikidata,"Workplace Health, Safety and Compensation Commission",
widm.ca,4,wikidata,Waterloo Institute for Disaster Management,
winnipeg.ca,4,wikidata,Winnipeg Police Service,
winnipegarts.ca,4,wikidata,Winnipeg Arts Council,
wolfcreek.ab.ca,4,wikidata,Wolf Creek School Division No. 72,
wrdsb.ca,4,wikidata,Waterloo Region District School Board,
wrsd.ca,4,wikidata,Wild Rose School Division No. 66,
wsask.ca,4,wikidata,Saskatchewan Water Security Agency,
wvpd.ca,4,wikidata,West Vancouver Police Department,
ycdsb.ca,4,wikidata,York Catholic District School Board,
yemenembassy.ca,4,wikidata,embassy of Yemen in Canada,central
yk1.nt.ca,4,wikidata,Yellowknife Education District No. 1,
yow.ca,4,wikidata,Ottawa Macdonald-Cartier International Airport,
yqr.ca,4,wikidata,Regina Airport Authority,
yrdsb.edu.on.ca,4,wikidata,York Region District School Board,
administrationportuairedetoronto.com,3,wikidata,PortsToronto,
afghanemb-canada.net,3,wikidata,"Embassy of Afghanistan, Ottawa",central
ambabf-ca.org,3,wikidata,Embassy of Burkina Faso in Canada,central
ambaguinee-ca.com,3,wikidata,embassy of Guinea in Canada,central
ambalgott.com,3,wikidata,"Embassy of Algeria, Ottawa",central
ambasadat.net,3,wikidata,"Embassy of Kosovo, Ottawa",central
ambassadecongocanada.org,3,wikidata,embassy of the Republic of Congo in Canada,central
ambatogocanada.com,3,wikidata,embassy of Togo in Canada,central
ambsencanada.org,3,wikidata,Embassy of Senegal to Canada,central
anduhyaun.org,3,wikidata,Anduhyaun Shelter,
apscops.org,3,wikidata,Anishinabek Police Service,
arcticathabaskancouncil.com,3,wikidata,Arctic Athabaskan Council,
artsmontreal.org,3,wikidata,Conseil des arts de Montréal,
aspenview.org,3,wikidata,Aspen View Public School Division No. 78,
atlanticfishfarmers.com,3,wikidata,Atlantic Canada Fish Farmers Association,
banq-saint-sulpice.business.site,3,wikidata,Saint-Sulpice Library,
bcblueberry.com,3,wikidata,British Columbia Blueberry Council,
bgcdsb.org,3,wikidata,Bruce-Grey Catholic District School Board,
bmo.com,3,wikidata,Bank of Montreal,
bot.com,3,wikidata,Toronto Board of Trade,
bramptonbot.com,3,wikidata,Brampton Board of Trade,
