domain,label,level,name
gov.uk,bigburyparishcouncil,local,
gov.uk,bigbyparishcouncil,local,
gov.uk,biggleswadetowncouncil,local,Biggleswade Town Council
gov.uk,bilbrookparishcouncil,local,
gov.uk,bilbrough-pc,local,
gov.uk,billericaytowncouncil,local,Billericay Town Council
gov.uk,billesdonparishcouncil,local,
gov.uk,billing-pc,local,
gov.uk,billingborough-pc,local,
gov.uk,billingeparishcouncil,local,
gov.uk,billingham-tc,local,
gov.uk,billinghay-pc,local,
gov.uk,billingshurst,local,Billingshurst Parish Council
gov.uk,billingsley-pc,local,Billingsley
gov.uk,billingtonparishcouncil,local,
gov.uk,bilsbyfarlesthorpe-pc,local,
gov.uk,bilsdale-pc,local,
gov.uk,bilsington-pc,local,
gov.uk,bilsthorpe-pc,local,
gov.uk,bilsthorpeparishcouncil,local,
gov.uk,biltoninainstywithbickerton-pc,local,
gov.uk,binfieldparishcouncil,local,
gov.uk,bingham-tc,local,Bingham Town Council
gov.uk,bingleytowncouncil,local,
gov.uk,binleywoods-pc,local,
gov.uk,binstedparishcouncil,local,
gov.uk,bircham-pc,local,
gov.uk,birchanger-pc,local,
gov.uk,birchington-pc,local,
gov.uk,birchoverparish,local,
gov.uk,birchparishcouncil,local,
gov.uk,birchwoodtowncouncil,local,
gov.uk,birdhamparishcouncil,local,
gov.uk,birdingbury-pc,local,
gov.uk,birleywithupperhillparishcouncil,local,
gov.uk,birlingparishcouncil,local,
gov.uk,birmingham,local,Birmingham City Council
gov.uk,birtsmortonparishcouncil,local,
gov.uk,bisbrookeparishmeeting,local,
gov.uk,bishopauckland-tc,local,
gov.uk,bishopburtonparishcouncil,local,
gov.uk,bishopmiddleham-pc,local,
gov.uk,bishopmonkton-pc,local,
gov.uk,bishopnortonwithatterby-pc,local,
gov.uk,bishopscanningsparishcouncil,local,
gov.uk,bishopscastletowncouncil,local,Bishop's Castle Town Council
gov.uk,bishopscaundle-pc,local,
gov.uk,bishopscleeveparishcouncil,local,
gov.uk,bishopsfromeparishcouncil,local,
gov.uk,bishopshullparishcouncil,local,
gov.uk,bishopsitchington-pc,local,Bishop's Itchington
gov.uk,bishopslydeardparishcouncil,local,
gov.uk,bishopsstortfordtc,local,Bishop's Stortford Town Council
gov.uk,bishopssuttonparishcouncil,local,
gov.uk,bishopstachbrook-pc,local,
gov.uk,bishopsteignton-pc,local,
gov.uk,bishopstone-pc,local,
gov.uk,bishopstonegroup-herefordshire-pc,local,
gov.uk,bishopswaltham-pc,local,
gov.uk,bishopthorpe-pc,local,
gov.uk,bishopwilton-pc,local,
gov.uk,bisley-with-lypiatt,local,Bisley-with-Lypiatt
gov.uk,bisleyparishcouncil,local,
gov.uk,bitterley-pc,local,
gov.uk,bitteswellparishcouncil,local,
gov.uk,bittonparishcouncil,local,
gov.uk,bixandassendon-pc,local,
gov.uk,blaby,local,Blaby District Council
gov.uk,blabyparishcouncil,local,
gov.uk,blackbirdleysparishcouncil,local,Blackbird Leys
gov.uk,blackburn,local,Blackburn with Darwen Borough Council
gov.uk,blackmore-hookend-wyattsgreen-pc,local,
gov.uk,blacknotley-pc,local,Black Notley Parish Council
gov.uk,blackoparishcouncil,local,
gov.uk,blackpool,local,Blackpool Borough Council
gov.uk,blackrodtowncouncil,local,
gov.uk,blacksluiceidb,local,
gov.uk,blacktorrington-pc,local,
gov.uk,blackwaterandhawley-tc,local,
gov.uk,blackwaterandhawleytowncouncil,local,
gov.uk,blackwell-pc,local,
gov.uk,bladon-pc,local,
gov.uk,blaenau-gwent,local,Blaenau Gwent County Borough Council
gov.uk,blaenhonddan-wcc,local,
gov.uk,blagdonparishcouncil,local,
gov.uk,blakeneyparishcouncil,local,
gov.uk,blanchlandparishcouncil,local,
gov.uk,blandfordforum-tc,local,
gov.uk,blandfordstmary-pc,local,
gov.uk,blaxhall-pc,local,
gov.uk,blaxtonparishcouncil,local,
gov.uk,bleanparishcouncil,local,
gov.uk,bleasby-pc,local,
gov.uk,bledlowcumsaundertonparishcouncil,local,
gov.uk,bletchingley-pc,local,
gov.uk,bletchleyfennystratford-tc,local,
gov.uk,bletsoe-pc,local,
gov.uk,blewburyparishcouncil,local,
gov.uk,blidworthparishcouncil,local,
gov.uk,blindbothel-pc,local,
gov.uk,blislandparishcouncil,local,
gov.uk,blisworthparishcouncil,local,
gov.uk,blithfieldparishcouncil,local,
gov.uk,blockleyparish,local,
gov.uk,blofield-pc,local,
gov.uk,bloxhamparishcouncil,local,
gov.uk,blundestonflixtonparish,local,
gov.uk,blunham-pc,local,
gov.uk,blunsdon-pc,local,
gov.uk,bluntisham-pc,local,
gov.uk,blyfordandsotherton-pc,local,
gov.uk,blythparishcouncil,local,
gov.uk,blythtowncouncil,local,
gov.uk,blytonparishcouncil,local,
gov.uk,bmg-pc,local,
gov.uk,bmkalc,local,
gov.uk,boarhuntparishcouncil,local,
gov.uk,boarstallparish,local,
gov.uk,bobbing-pc,local,
gov.uk,bobbington-pc,local,
gov.uk,boddington-pc,local,
