subdomain,http_status,mx
mail.crsikasso.gouv.ml,Could not resolve host: mail.crsikasso.gouv.ml,none
mail.ctrca.gouv.ml,Could not resolve host: mail.ctrca.gouv.ml,none
mail.decentralisation-oise.gouv.ml,Could not resolve host: mail.decentralisation-oise.gouv.ml,none
mail.defense.gouv.ml,Could not resolve host: mail.defense.gouv.ml,none
mail.developpementlocal.gouv.ml,Could not resolve host: mail.developpementlocal.gouv.ml,none
mail.dfmeducation.gouv.ml,Could not resolve host: mail.dfmeducation.gouv.ml,none
mail.dgce.gouv.ml,Could not resolve host: mail.dgce.gouv.ml,none
mail.dgct.gouv.ml,Could not resolve host: mail.dgct.gouv.ml,none
mail.dgsmali.gouv.ml,Could not resolve host: mail.dgsmali.gouv.ml,none
mail.diplomatie.gouv.ml,Could not resolve host: mail.diplomatie.gouv.ml,none
mail.dnat.gouv.ml,Could not resolve host: mail.dnat.gouv.ml,none
mail.economienumerique.gouv.ml,Could not resolve host: mail.economienumerique.gouv.ml,none
mail.education.gouv.ml,Could not resolve host: mail.education.gouv.ml,none
mail.energie.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'mail.energie.gouv.ml',none
mail.enseignementsuperieur.gouv.ml,301,none
mail.equipement.gouv.ml,Could not resolve host: mail.equipement.gouv.ml,none
mail.finances.gouv.ml,Connection timed out after 3001 milliseconds,none
mail.fonctionpublique.gouv.ml,Could not resolve host: mail.fonctionpublique.gouv.ml,none
mail.fp.gouv.ml,Resolving timed out after 3000 milliseconds,none
mail.gouv.ml,301,none
mail.infj.gouv.ml,Could not resolve host: mail.infj.gouv.ml,none
mail.investir.gouv.ml,SSL: no alternative certificate subject name matches target hostname 'mail.investir.gouv.ml',none
mail.justice.gouv.ml,200,none
mail.kayes.gouv.ml,Could not resolve host: mail.kayes.gouv.ml,none
mail.maliens-exterieur.gouv.ml,Could not resolve host: mail.maliens-exterieur.gouv.ml,none
mail.malinumerique2020.gouv.ml,Could not resolve host: mail.malinumerique2020.gouv.ml,none
mail.matp.gouv.ml,Could not resolve host: mail.matp.gouv.ml,none
mail.mct.gouv.ml,Could not resolve host: mail.mct.gouv.ml,none
mail.mef.gouv.ml,Could not resolve host: mail.mef.gouv.ml,none
mail.miic.gouv.ml,Could not resolve host: mail.miic.gouv.ml,none
mail.mines.gouv.ml,200,none
mail.mj.gouv.ml,Resolving timed out after 3000 milliseconds,none
mail.mopti.gouv.ml,Could not resolve host: mail.mopti.gouv.ml,none
mail.mpfef.gouv.ml,Could not resolve host: mail.mpfef.gouv.ml,none
mail.omvf.gouv.ml,Could not resolve host: mail.omvf.gouv.ml,none
