hostname,http_status,mx
inaf.it,ConnectException,1 ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.
inail.it,HttpConnectTimeoutException: HTTP connect timed out,0 inail-it.mail.protection.outlook.com.
indire.it,ConnectException,0 indire-it.mail.protection.outlook.com.
infn.it,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching infn.it found.,50 infngw1.infn.it.; 50 infngw2.infn.it.
inmp.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,20 inmp-it.mail.protection.outlook.com.
inpgi.it,301,none
inps.it,301,10 mx40.inps.it.; 10 mx30.inps.it.; 10 mx10.inps.it.; 10 mx20.inps.it.
inrim.it,ConnectException,5 ALT1.ASPMX.L.GOOGLE.COM.; 10 ALT3.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.
inu.it,200,none
invalsi.it,301,10 invalsi-it.mail.protection.outlook.com.
invitalia.it,ConnectException,10 invitalia-it.mail.protection.outlook.com.
ipa.roma.it,301,10 mail.register.it.
ipablapieve.it,ConnectException,10 fw2.ipablapieve.it.; 5 mail.ipablapieve.it.
ires.piemonte.it,301,10 ALT3.ASPMX.L.GOOGLE.COM.; 5 ALT1.ASPMX.L.GOOGLE.COM.; 1 ASPMX.L.GOOGLE.COM.; 10 ALT4.ASPMX.L.GOOGLE.COM.; 5 ALT2.ASPMX.L.GOOGLE.COM.
iresmo.it,301,0 iresmo.it.
isafom.cnr.it,200,none
isb.cnr.it,HttpConnectTimeoutException: HTTP connect timed out,10 mx-istituti.cnr.it.
isinucleare.it,ConnectException,none
iss.it,ConnectException,20 mxb-0048aa01.gslb.pphosted.com.; 10 iss-it.mail.protection.outlook.com.
istat.it,ConnectException,5 posta5.istat.it.; 5 posta4.istat.it.
istitutocimbro.it,301,10 mx.istitutocimbro.it.
istitutoitalianonumismatica.it,301,none
istitutopolacco.it,301,none
iststor.it,301,none
isuc.alumbria.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
iszsicilia.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mailserver.ediset.it.
it.china-embassy.org,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching it.china-embassy.org found.,none
it.mfa.lt,403,none
italien.diplo.de,200,none
italien.um.dk,301,none
italy.mfa.am,301,none
italy.representation.ec.europa.eu,302,none
ivass.it,ConnectException,20 mail02.bancaditalia.it.; 20 mail04.bancaditalia.it.; 20 mail03.bancaditalia.it.; 20 mail01.bancaditalia.it.
izsto.it,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
jobtech.it,200,5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
khi.fi.it,ConnectException,none
kuwaitembassy.it,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching kuwaitembassy.it found.,none
leganavale.it,HttpTimeoutException: request timed out,none
lens.unifi.it,200,20 alt2.aspmx.l.google.com.; 10 aspmx.l.google.com.; 30 aspmx2.googlemail.com.; 30 aspmx3.googlemail.com.; 30 aspmx4.googlemail.com.; 30 aspmx5.googlemail.com.; 20 alt1.aspmx.l.google.com.
lesothoembassyrome.it,200,none
lg.camcom.it,200,none
