subdomain,parent_domain,http_status
www.gsin.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'www.gsin.gov.kg'"
www.gvfi.gov.kg,gov.kg,"Could not resolve host: www.gvfi.gov.kg"
www.help.emed.gov.kg,gov.kg,"Resolving timed out after 3001 milliseconds"
www.ibilim.edu.gov.kg,gov.kg,"Could not resolve host: www.ibilim.edu.gov.kg"
www.ilim.edu.gov.kg,gov.kg,"Could not resolve host: www.ilim.edu.gov.kg"
www.isuo.edu.gov.kg,gov.kg,"Could not resolve host: www.isuo.edu.gov.kg"
www.joldor.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'www.joldor.gov.kg'"
www.kabinet.balabakcha.edu.gov.kg,gov.kg,"Could not resolve host: www.kabinet.balabakcha.edu.gov.kg"
www.kitep.edu.gov.kg,gov.kg,"Could not resolve host: www.kitep.edu.gov.kg"
www.kt.kyrgyztest.gov.kg,gov.kg,"Could not resolve host: www.kt.kyrgyztest.gov.kg"
www.kyrgyzkomur.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
www.kyrgyztest.gov.kg,gov.kg,"301"
www.licensing.edu.gov.kg,gov.kg,"Could not resolve host: www.licensing.edu.gov.kg"
www.mail.fsa.gov.kg,gov.kg,"Could not resolve host: www.mail.fsa.gov.kg"
www.mail.gknb.gov.kg,gov.kg,"Could not resolve host: www.mail.gknb.gov.kg"
www.mektep.edu.gov.kg,gov.kg,"Could not resolve host: www.mektep.edu.gov.kg"
www.mfa.gov.kg,gov.kg,"403"
www.mil.gov.kg,gov.kg,"301"
www.mirbalkonov.kyrgyztest.gov.kg,gov.kg,"Could not resolve host: www.mirbalkonov.kyrgyztest.gov.kg"
www.mirror.edu.gov.kg,gov.kg,"Could not resolve host: www.mirror.edu.gov.kg"
www.mirror02.edu.gov.kg,gov.kg,"Could not resolve host: www.mirror02.edu.gov.kg"
www.mkk.gov.kg,gov.kg,"301"
www.mlsp.gov.kg,gov.kg,"Could not resolve host: www.mlsp.gov.kg"
www.mtd.gov.kg,gov.kg,"301"
www.mvd.gov.kg,gov.kg,"SSL certificate problem: certificate has expired"
www.myktyaimak.gov.kg,gov.kg,"200"
www.nas.gov.kg,gov.kg,"Resolving timed out after 3000 milliseconds"
www.needs.mes.gov.kg,gov.kg,"Could not resolve host: www.needs.mes.gov.kg"
www.oku.edu.gov.kg,gov.kg,"Could not resolve host: www.oku.edu.gov.kg"
www.okuuluk.edu.gov.kg,gov.kg,"Could not resolve host: www.okuuluk.edu.gov.kg"
www.open.edu.gov.kg,gov.kg,"Could not resolve host: www.open.edu.gov.kg"
www.ordo.gov.kg,gov.kg,"Could not resolve host: www.ordo.gov.kg"
www.p.103.gov.kg,gov.kg,"Could not resolve host: www.p.103.gov.kg"
www.portal.water.gov.kg,gov.kg,"Could not resolve host: www.portal.water.gov.kg"
www.public.edu.gov.kg,gov.kg,"Could not resolve host: www.public.edu.gov.kg"
www.raioo.balabakcha.edu.gov.kg,gov.kg,"Could not resolve host: www.raioo.balabakcha.edu.gov.kg"
www.raioo.mektep.edu.gov.kg,gov.kg,"Could not resolve host: www.raioo.mektep.edu.gov.kg"
www.shailoo.gov.kg,gov.kg,"Could not resolve host: www.shailoo.gov.kg"
www.spuz.edu.gov.kg,gov.kg,"Could not resolve host: www.spuz.edu.gov.kg"
www.tailings.mes.gov.kg,gov.kg,"Could not resolve host: www.tailings.mes.gov.kg"
www.tamakash.edu.gov.kg,gov.kg,"Could not resolve host: www.tamakash.edu.gov.kg"
www.tizme.gov.kg,gov.kg,"Could not resolve host: www.tizme.gov.kg"
www.to.gov.kg,gov.kg,"Connection timed out after 3002 milliseconds"
www.tunduk.gov.kg,gov.kg,"SSL: no alternative certificate subject name matches target hostname 'www.tunduk.gov.kg'"
www.ukuk.gov.kg,gov.kg,"Could not resolve host: www.ukuk.gov.kg"
www.water.gov.kg,gov.kg,"303"
www.wua.water.gov.kg,gov.kg,"Could not resolve host: www.wua.water.gov.kg"
www.zalog.gov.kg,gov.kg,"Could not resolve host: www.zalog.gov.kg"
zaiaviteli-basrmir.nas.gov.kg,gov.kg,"Could not resolve host: zaiaviteli-basrmir.nas.gov.kg"
zakupki.gov.kg,gov.kg,"SSL certificate problem: unable to get local issuer certificate"
zalog.gov.kg,gov.kg,"Could not resolve host: zalog.gov.kg"
zalog.minjust.gov.kg,gov.kg,"200"
zalog.ordo.gov.kg,gov.kg,"Could not resolve host: zalog.ordo.gov.kg"
