hostname,mentions,evidence
dfs.de,1,DFS Deutsche Flugsicherung GmbH
dge.de,1,Deutsche Gesellschaft für Ernährung e. V.
dguv.de,1,Deutsche Gesetzliche Unfallversicherung e. V.
dhm.de,1,Deutsches Historisches Museum
diakonie.de,1,Diakonie Deutschland
die-bonn.de,1,Deutsches Institut für Erwachsenenbildung - Leibniz-Zentrum für Lebenslanges Lernen e.V.
dife.de,1,Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke
difu.de,1,Deutsches Institut für Urbanistik
dipf.de,1,Leibniz-Institut für Bildungsforschung und Bildungsinformation
diw.de,1,Deutsches Institut für Wirtschaftsforschung e. V.
dji.de,1,Deutsches Jugendinstitut e. V.
dkfz.de,1,Deutsches Krebsforschungszentrum
dla-marbach.de,1,Deutsches Literaturarchiv Marbach
dlr.de,1,Deutsches Zentrum für Luft- und Raumfahrt e. V.
dnb.de,1,Deutsche Nationalbibliothek
dnk.de,1,Deutsches Nationalkomitee für Denkmalschutz
donumvitae.org,1,donum vitae zur Förderung des Schutzes des menschlichen Lebens e. V.
dosb.de,1,Deutscher Olympischer Sportbund
dpma.de,1,Deutsches Patent- und Markenamt
dpz.eu,1,Deutsches Primatenzentrum GmbH - Leibniz-Institut für Primatenforschung
drfz.de,1,Deutsches Rheuma-Forschungszentrum Berlin
drk-suchdienst.de,1,Suchdienst des Deutschen Roten Kreuzes
drk.de,1,Deutsches Rotes Kreuz e. V.
dsj.de,1,Deutsche Sportjugend
dsm.museum,1,Deutsches Schifffahrtsmuseum
dsmz.de,1,Leibniz-Institut DSMZ - Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH
dstgb.de,1,Deutscher Städte- und Gemeindebund
dszv.it,1,Deutsches Studienzentrum in Venedig e. V.
dvka.de,1,Deutsche Verbindungsstelle Krankenversicherung - Ausland
dvl.org,1,Deutscher Verband für Landschaftspflege e. V.
dvr.de,1,Deutscher Verkehrssicherheitsrat (DVR) e. V.
dvv-international.de,1,dvv international
dw.com,1,Deutsche Welle
dwd.de,1,Deutscher Wetterdienst
dwi.rwth-aachen.de,1,Leibniz-Institut für Interaktive Materialien e. V.
dza.de,1,Deutsches Zentrum für Altersfragen e. V.
dzi.de,1,Deutsches Zentralinstitut für soziale Fragen
dzm-museum.de,1,Donauschwäbisches Zentralmuseum
dzne.de,1,Deutsches Zentrum für Neurodegenerative Erkrankungen e. V.
eba.bund.de,1,Eisenbahn-Bundesamt
ebert-gedenkstaette.de,1,Stiftung Reichspräsident-Friedrich-Ebert-Gedenkstätte
ebv-oil.org,1,Erdölbevorratungsverband
ecmi.de,1,Europäisches Zentrum für Minderheitenfragen
edb-banken.de,1,Entschädigungseinrichtung deutscher Banken GmbH
eisenbahn-unfalluntersuchung.de,1,Bundesstelle für Eisenbahnunfalluntersuchung
emi.fraunhofer.de,1,"Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut, EMI"
enas.fraunhofer.de,1,Fraunhofer-Institut für Elektronische Nanosysteme ENAS
engagement-global.de,1,Engagement Global gGmbH
esk.fraunhofer.de,1,Fraunhofer-Institut für Eingebettete Systeme und Kommunikationstechnik
ethikrat.org,1,Deutscher Ethikrat
fba.bund.de,1,Fernstraßen-Bundesamt
fbh-berlin.de,1,"Ferdinand-Braun-Institut gGmbH, Leibniz-Institut für Höchstfrequenztechnik"
fbn-dummerstorf.de,1,Forschungsinstitut für Nutztierbiologie
fep.fraunhofer.de,1,Fraunhofer-Institut für Elektronenstrahl- und Plasmatechnik
fes.de,1,Friedrich-Ebert-Stiftung
ffa.de,1,Filmförderungsanstalt
fit.fraunhofer.de,1,Fraunhofer-Institut für Angewandte Informationstechnik FIT
fitko.de,1,FITKO - Föderale IT-Kooperation
fiz-karlsruhe.de,1,FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur GmbH
fli.de,1,"Friedrich-Loeffler-Institut, Bundesforschungsinstitut für Tiergesundheit"
flucht-vertreibung-versoehnung.de,1,"Stiftung Flucht, Vertreibung, Versöhnung"
fmsa.de,1,Bundesanstalt für Finanzmarktstabilisierung c/o Bundesrepublik Finanzagentur
fnr.de,1,Fachagentur Nachwachsende Rohstoffe e. V.
foev-speyer.de,1,Deutsches Forschungsinstitut für öffentliche Verwaltung
fokus.fraunhofer.de,1,Fraunhofer-Institut für Offene Kommunikationssysteme
forum.fraunhofer.de,1,Fraunhofer-Forum Berlin
frauenrat.de,1,Deutscher Frauenrat
fraunhofer.de,1,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.
freiheit.org,1,Friedrich-Naumann-Stiftung für die Freiheit
friedensdienst.de,1,Aktionsgemeinschaft Dienst für den Frieden e. V.
fueakbw.de,1,Führungsakademie der Bundeswehr
fv-berlin.de,1,Forschungsverbund Berlin e. V.
fz-borstel.de,1,Forschungszentrum Borstel - Leibniz Lungenzentrum
fz-juelich.de,1,Forschungszentrum Jülich
gdws.wsv.bund.de,4,Berufsbildungszentrum Kleinmachnow (der WSV bei der GDWS) | Fachstelle für Geodäsie und Geoinformatik der Wasserstraßen- und Schifffahrtsverwaltung...
gdws.wsv.de,1,Berufsbildungszentrum Koblenz (der WSV bei der GDWS)
gei.de,1,Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut
generalbundesanwalt.de,1,Generalbundesanwalt beim Bundesgerichtshof
geomar.de,1,Helmholtz-Zentrum für Ozeanforschung Kiel
germany.iom.int,1,Internationale Organisation für Migration
germany.travel,1,Deutsche Zentrale für Tourismus e. V.
gesis.org,1,GESIS - Leibniz-Institut für Sozialwissenschaften
gfz.de,1,GFZ Helmholtz-Zentrum für Geoforschung
ghwk.de,1,Haus der Wannsee-Konferenz - Gedenk- und Bildungstätte -
giga-hamburg.de,1,German Institute of Global and Area Studies
giz.de,1,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH
gkvi.de,1,gkv informatik eGbR
goethe.de,1,Goethe-Institut e. V.
