subdomain,http_status,mx
bparchiv.bmf.gv.at,Could not resolve host: bparchiv.bmf.gv.at,none
bpk.bmbf.gv.at,Could not resolve host: bpk.bmbf.gv.at,none
bpk.bmukk.gv.at,Could not resolve host: bpk.bmukk.gv.at,none
bportal.zmr.register.gv.at,301,none
bregenz.gv.at,301,none
breitenau.gv.at,Could not resolve host: breitenau.gv.at,none
broschuerenservice.bmask.gv.at,Could not resolve host: broschuerenservice.bmask.gv.at,none
broschuerenservice.bmsk.gv.at,Could not resolve host: broschuerenservice.bmsk.gv.at,none
brz.amtsdolmetsch.jba.gv.at,SSL: no alternative certificate subject name matches target hostname 'brz.amtsdolmetsch.jba.gv.at',none
brz.gv.at,301,none
buchhaltungsagentur.gv.at,301,none
buechereien.wien.gv.at,403,10 mx01.wien.gv.at.; 10 mx02.wien.gv.at.
buerger.portal-e.ooe.gv.at,Could not resolve host: buerger.portal-e.ooe.gv.at,none
bund.jobboerse.gv.at,307,none
bundeskanzleramt.gv.at,301,none
bundqs.jobboerse.gv.at,Connection timed out after 3001 milliseconds,none
bvwg.gv.at,301,none
bwidb.bmwfj.gv.at,Could not resolve host: bwidb.bmwfj.gv.at,none
bwidb.bmwfw.gv.at,Could not resolve host: bwidb.bmwfw.gv.at,none
callcenter.ooe.gv.at,200,none
capricorn2013.extra.bmlv.gv.at,Could not resolve host: capricorn2013.extra.bmlv.gv.at,none
cargo.bmeia.gv.at,Could not resolve host: cargo.bmeia.gv.at,none
cda-tools.elga.gv.at,Could not resolve host: cda-tools.elga.gv.at,none
charta.magwien.gv.at,Could not resolve host: charta.magwien.gv.at,none
charta.wien.gv.at,Could not resolve host: charta.wien.gv.at,none
chatnode1.xmpp.ooe.gv.at,Could not resolve host: chatnode1.xmpp.ooe.gv.at,none
chatnode2.xmpp.ooe.gv.at,Could not resolve host: chatnode2.xmpp.ooe.gv.at,none
cisa.wien.gv.at,302,none
citrix-ag.stmk.gv.at,302,none
citrix-ag2.stmk.gv.at,Could not resolve host: citrix-ag2.stmk.gv.at,none
citrix-sgw.stmk.gv.at,Could not resolve host: citrix-sgw.stmk.gv.at,none
citrix-sgw1.stmk.gv.at,Could not resolve host: citrix-sgw1.stmk.gv.at,none
citrix-wi.bmwfw.gv.at,Could not resolve host: citrix-wi.bmwfw.gv.at,none
citrix.bgld.gv.at,Could not resolve host: citrix.bgld.gv.at,none
citrix.bmwf.gv.at,Could not resolve host: citrix.bmwf.gv.at,none
citrix.bmwfj.gv.at,Could not resolve host: citrix.bmwfj.gv.at,none
citrix.lsr-stmk.gv.at,Could not resolve host: citrix.lsr-stmk.gv.at,none
citrix.ooe.gv.at,Could not resolve host: citrix.ooe.gv.at,none
citrix.wien.gv.at,302,none
citrixcb.wien.gv.at,Could not resolve host: citrixcb.wien.gv.at,none
city-map.innsbruck.gv.at,301,none
clo.bmf.gv.at,SSL: no alternative certificate subject name matches target hostname 'clo.bmf.gv.at',none
cloud.bka.gv.at,302,none
cloud.laab-walde.gv.at,Could not resolve host: cloud.laab-walde.gv.at,none
cloud.wien.gv.at,301,none
club.wien.gv.at,301,none
cms-devicepreview.ooe.gv.at,Could not resolve host: cms-devicepreview.ooe.gv.at,none
cms-devicepreviw.ooe.gv.at,Could not resolve host: cms-devicepreviw.ooe.gv.at,none
cms-red.ooe.gv.at,Could not resolve host: cms-red.ooe.gv.at,none
cms.bka.gv.at,Could not resolve host: cms.bka.gv.at,none
cms.bmeia.gv.at,200,none
cms.bmlv.gv.at,404,none
cms.bmlvs.gv.at,404,none
cnc.gv.at,Could not resolve host: cnc.gv.at,none
cognos.bmbf.gv.at,Connection timed out after 3001 milliseconds,none
collab-edge.ooe.gv.at,Could not resolve host: collab-edge.ooe.gv.at,none
collab-edge.voip.ooe.gv.at,Could not resolve host: collab-edge.voip.ooe.gv.at,none
community.era.gv.at,200,none
conf-zoll.bmf.gv.at,Could not resolve host: conf-zoll.bmf.gv.at,none
conf01.ivt-pilot.justiz.gv.at,Could not resolve host: conf01.ivt-pilot.justiz.gv.at,none
connect.brz.gv.at,SSL certificate problem: certificate has expired,none
consultation.era.gv.at,Could not resolve host: consultation.era.gv.at,none
courts.justiz.gv.at,403,none
crisam.ooe.gv.at,Could not resolve host: crisam.ooe.gv.at,none
crossborder-healthcare.gv.at,302,none
csg.ooe.gv.at,Could not resolve host: csg.ooe.gv.at,none
cti.ooe.gv.at,Could not resolve host: cti.ooe.gv.at,none
cti.voip.ooe.gv.at,Could not resolve host: cti.voip.ooe.gv.at,none
ctxag.fma.gv.at,Could not resolve host: ctxag.fma.gv.at,none
ctxgw.bev.gv.at,302,none
ctxgwt.bev.gv.at,Could not resolve host: ctxgwt.bev.gv.at,none
ctxhtml5test.stmk.gv.at,Could not resolve host: ctxhtml5test.stmk.gv.at,none
ctxipg.fma.gv.at,Could not resolve host: ctxipg.fma.gv.at,none
ctxmxm-test.stmk.gv.at,Could not resolve host: ctxmxm-test.stmk.gv.at,none
ctxmxm.stmk.gv.at,Could not resolve host: ctxmxm.stmk.gv.at,none
ctxra.fma.gv.at,Could not resolve host: ctxra.fma.gv.at,none
ctxshare.stmk.gv.at,Could not resolve host: ctxshare.stmk.gv.at,none
cube.bmbf.gv.at,Could not resolve host: cube.bmbf.gv.at,none
cube.bmukk.gv.at,Could not resolve host: cube.bmukk.gv.at,none
cuprime.ooe.gv.at,Could not resolve host: cuprime.ooe.gv.at,none
cwa.bmi.gv.at,Could not resolve host: cwa.bmi.gv.at,none
