hostname,score,sources,label,level,http_status,mx
kuwaitembassy.se,4,wikidata,"Embassy of Kuwait, Stockholm",central,200,20 alt1.aspmx.l.google.com.; 30 aspmx3.googlemail.com.; 20 alt2.aspmx.l.google.com.; 30 aspmx4.googlemail.com.; 10 aspmx.l.google.com.; 30 aspmx2.googlemail.com.; 30 aspmx5.googlemail.com.
lagradet.se,4,wikidata,Council on Legislation,central,301,1 mx1.oderland.com.; 1 mx4.oderland.com.; 1 mx3.oderland.com.; 1 mx2.oderland.com.
lakemedelsverket.se,4,wikidata,Swedish Medical Products Agency,central,301,10 mailgw11.mpa.se.; 10 mailgw10.mpa.se.
lantmateriet.se,4,wikidata,Lantmäteriet,central,302,15 nexus-tss001.lmv.lm.se.; 10 nexus-tsg001.lmv.lm.se.; 10 nexus-tm01.lmv.lm.se.
laosembassystockholm.egnaverk.se,4,wikidata,"Embassy of Laos, Stockholm",central,SSLHandshakeException: Remote host terminated the handshake,none
lebanonembassy.se,4,wikidata,"Embassy of Lebanon, Stockholm",central,301,10 mx4.pub.mailpod11-cph3.one.com.; 10 mx2.pub.mailpod11-cph3.one.com.; 10 mx1.pub.mailpod11-cph3.one.com.; 10 mx3.pub.mailpod11-cph3.one.com.
levandehistoria.se,4,wikidata,Forum för levande historia,central,307,10 levandehistoria-se.mail.protection.outlook.com.
lfv.se,4,wikidata,Civil Aviation Administration,,200,30 se.mx3.mailanyone.net.; 10 se.mx1.mailanyone.net.; 40 se.mx4.mx25.net.; 20 se.mx2.mx25.net.
liu.se,4,wikidata,Linköping University,central,200,20 liu-se.mail.protection.outlook.com.
livsmedelsverket.se,4,wikidata,National Food Agency,central,301,20 mail2.slv.se.; 20 mail.slv.se.
lnu.se,4,wikidata,Linnaeus University,central,301,10 lnu-se.mail.protection.outlook.com.
lotteriinspektionen.se,4,wikidata,Spelinspektionen,central,500,30 se.mx3.mailanyone.net.; 10 se.mx1.mailanyone.net.; 20 se.mx2.mx25.net.; 40 se.mx4.mx25.net.
ltu.se,4,wikidata,Luleå University of Technology,central,301,10 ltu-se.mail.protection.outlook.com.
lu.se,4,wikidata,Lund University,central,301,0 lu-se.mail.protection.outlook.com.
markochmiljooverdomstolen.se,4,wikidata,Land and Environment Court of Appeal,,301,none
mau.se,4,wikidata,Malmö University,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 mau-se.mail.protection.outlook.com.
mdu.se,4,wikidata,Mälardalen University,central,301,10 mdu-se.mail.protection.outlook.com.
mediemyndigheten.se,4,wikidata,Swedish Agency for the Media,central,200,9 mediemyndigheten-se.mail.protection.outlook.com.
mfd.se,4,wikidata,The Swedish Agency for Participation,central,301,10 mdspambx0001.mfd.se.
mfof.se,4,wikidata,Swedish Intercountry Adoptions Authority,central,200,10 mfspambx0001.mfof.se.
mi.se,4,wikidata,National Mediation Office,central,301,10 mispambx0001.mi.se.
migrationsverket.se,4,wikidata,Swedish Migration Agency,central,301,0 migrationsverket-se.mail.protection.outlook.com.
miun.se,4,wikidata,Mid Sweden University,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 miun-se.mail.protection.outlook.com.; 50 tarbaby.junkemailfilter.com.
modernamuseet.se,4,wikidata,Moderna Museet,central,301,20 se.mx2.mx25.net.; 10 se.mx1.mailanyone.net.; 40 se.mx4.mx25.net.; 30 se.mx3.mailanyone.net.
mofaic.gov.ae,4,wikidata,"Embassy of United Arab Emirates, Stockholm",central,IOException: HTTP/1.1 header parser received no bytes,20 smartmail2.fednet.gov.ae.; 10 smartmail1.fednet.gov.ae.
mpf.se,4,wikidata,Office of Psychological Defense,,200,10 mx1.epm.se.; 20 mx2.epm.se.
mrinstitutet.se,4,wikidata,The Swedish Institute for Human Rights,central,200,0 mrinstitutet-se.mail.protection.outlook.com.
msi.se,4,wikidata,Swedish Commission on Security and Integrity Protection,central,301,0 sinspambx0001.msi.se.
mtfa.se,4,wikidata,Swedish Agency for Defence Analysis,central,HttpConnectTimeoutException: HTTP connect timed out,5 mta-prd-mt1.vv1.se.; 5 mta-prd-mt1.g30.se.
mtm.se,4,wikidata,Swedish Agency for Accessible Media,central,200,10 mtm-se.mail.protection.outlook.com.
mucf.se,4,wikidata,National Board for Youth Affairs,central,301,10 se.mx1.mailanyone.net.; 20 se.mx2.mx25.net.; 30 se.mx3.mailanyone.net.; 40 se.mx4.mx25.net.
musikverket.se,4,wikidata,"National Collections of Music, Theatre and Dance",central,301,0 musikverket-se.mail.protection.outlook.com.
myh.se,4,wikidata,Swedish National Agency for Higher Vocational Education,central,302,10 myh-se.mail.protection.outlook.com.
nai.uu.se,4,wikidata,Nordic Africa Institute,central,200,10 mailfilter-ng-3.sunet.se.; 10 mailfilter-ng-1.sunet.se.; 10 mailfilter-ng-4.sunet.se.; 20 mailfilter-ng-2.sunet.se.
namndenmotdiskriminering.se,4,wikidata,Q10605072,central,200,10 mx4.mailpod15-cph3.g1i.one.com.; 10 mx3.mailpod15-cph3.g1i.one.com.; 10 mx2.mailpod15-cph3.g1i.one.com.; 10 mx1.mailpod15-cph3.g1i.one.com.
nationalmuseum.se,4,wikidata,Nationalmuseum,central,301,0 nationalmuseum-se.mail.protection.outlook.com.
naturvardsverket.se,4,wikidata,Swedish Environmental Protection Agency,central,301,10 mx2.improve.nordlo.cloud.; 10 mx1.improve.nordlo.cloud.
ncsc.se,4,wikidata,National Cybersecurity Centre,,302,0 ncsc-se.mail.protection.outlook.com.
