subdomain,parent_domain,http_status
mail.dreibalawsat.gov.lb,gov.lb,"Could not resolve host: mail.dreibalawsat.gov.lb"
mail.druzecourts.gov.lb,gov.lb,"Could not resolve host: mail.druzecourts.gov.lb"
mail.economy.gov.lb,gov.lb,"302"
mail.eeln.gov.lb,gov.lb,"Could not resolve host: mail.eeln.gov.lb"
mail.eeway.gov.lb,gov.lb,"Could not resolve host: mail.eeway.gov.lb"
mail.esfd.cdr.gov.lb,gov.lb,"302"
mail.feytroun.gov.lb,gov.lb,"Could not resolve host: mail.feytroun.gov.lb"
mail.fnaydek.gov.lb,gov.lb,"Could not resolve host: mail.fnaydek.gov.lb"
mail.ghalboun.gov.lb,gov.lb,"500"
mail.ghazir.gov.lb,gov.lb,"Could not resolve host: mail.ghazir.gov.lb"
mail.greenplan.gov.lb,gov.lb,"Could not resolve host: mail.greenplan.gov.lb"
mail.habbouch.gov.lb,gov.lb,"Could not resolve host: mail.habbouch.gov.lb"
mail.hadat.gov.lb,gov.lb,"Could not resolve host: mail.hadat.gov.lb"
mail.halatmunicipality.gov.lb,gov.lb,"Could not resolve host: mail.halatmunicipality.gov.lb"
mail.hcp.gov.lb,gov.lb,"Could not resolve host: mail.hcp.gov.lb"
mail.iqleemel-tufah.gov.lb,gov.lb,"Could not resolve host: mail.iqleemel-tufah.gov.lb"
mail.iranianembassy.gov.lb,gov.lb,"Could not resolve host: mail.iranianembassy.gov.lb"
mail.jadra.gov.lb,gov.lb,"Could not resolve host: mail.jadra.gov.lb"
mail.jaleldibbkenaya.gov.lb,gov.lb,"Could not resolve host: mail.jaleldibbkenaya.gov.lb"
mail.jdeidetmarjeyoun.gov.lb,gov.lb,"Could not resolve host: mail.jdeidetmarjeyoun.gov.lb"
mail.jieh.gov.lb,gov.lb,"Could not resolve host: mail.jieh.gov.lb"
mail.jo.pcm.gov.lb,gov.lb,"Resolving timed out after 3000 milliseconds"
mail.jounieh.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'mail.jounieh.gov.lb'"
mail.joureteltermos.gov.lb,gov.lb,"Could not resolve host: mail.joureteltermos.gov.lb"
mail.justice.gov.lb,gov.lb,"SSL: no alternative certificate subject name matches target hostname 'mail.justice.gov.lb'"
mail.kafarmatta.gov.lb,gov.lb,"Could not resolve host: mail.kafarmatta.gov.lb"
mail.kahale.gov.lb,gov.lb,"Could not resolve host: mail.kahale.gov.lb"
mail.keserwanftouhfederation.gov.lb,gov.lb,"200"
mail.kfarchima.gov.lb,gov.lb,"Could not resolve host: mail.kfarchima.gov.lb"
mail.khencharajouar.gov.lb,gov.lb,"302"
mail.kousba.gov.lb,gov.lb,"Could not resolve host: mail.kousba.gov.lb"
mail.lassa.gov.lb,gov.lb,"Could not resolve host: mail.lassa.gov.lb"
mail.lebarmy.gov.lb,gov.lb,"Connection timed out after 3002 milliseconds"
mail.lpa.gov.lb,gov.lb,"Could not resolve host: mail.lpa.gov.lb"
mail.maarakemunicipality.gov.lb,gov.lb,"Could not resolve host: mail.maarakemunicipality.gov.lb"
mail.mayfouk-kattara.gov.lb,gov.lb,"Could not resolve host: mail.mayfouk-kattara.gov.lb"
mail.mechmech-jbeil.gov.lb,gov.lb,"Could not resolve host: mail.mechmech-jbeil.gov.lb"
mail.ministryinfo.gov.lb,gov.lb,"Could not resolve host: mail.ministryinfo.gov.lb"
mail.moew.gov.lb,gov.lb,"Connection timed out after 3001 milliseconds"
