domain,country,level,un_status,region,languages,gdp_per_capita,name,score,sources,mx
cebaf.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-0027ee01.gslb.pphosted.com.; 10 mxa-0027ee01.gslb.pphosted.com.
cecc.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cefil.fr,FRA_france,central,member,Europe,French,48986,,,,100 volga.over-link.net.; 10 gange.over-link.net.
cendi.gov,USA_united_states,central,member,Americas,English,84534,,,,10 mxb-001d2d01.gslb.gpphosted.com.; 10 mxa-001d2d01.gslb.gpphosted.com.
census.gov,USA_united_states,central,member,Americas,English,84534,,,,50 mail1.census.gov.; 50 mail2.census.gov.
cepii.fr,FRA_france,central,member,Europe,French,48986,,,,10 mx02.cloud.vadesecure.com.; 10 mx04.cloud.vadesecure.com.; 10 mx03.cloud.vadesecure.com.; 10 mx01.cloud.vadesecure.com.
cesba.gob.ar,ARG_argentina,central-1,member,Americas,Guaraní; Spanish,13970,Consejo Económico y Social de la Ciudad de Buenos Aires,,registry,
cescdmx.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Consejo Económico y Social de la Ciudad de México,,registry,
cesp-yucatan.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Consejo Estatal de Seguridad Pública de Yucatán,,registry,
cespcampeche.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Consejo Estatal de Seguridad Pública de Campeche,,registry,
cespe.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Comisión Estatal de Servicios Públicos de Ensenada (Baja California),,registry,
cespnay.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Consejo Estatal de Seguridad Pública de Nayarit,,registry,
cespt.gob.mx,MEX_mexico,central-1,member,Americas,Spanish,13889,Comisión Estatal de Servicios Públicos de Tijuana (Baja California),,registry,
cfa.gov,USA_united_states,central,member,Americas,English,84534,,,,30 cfa-gov.mail.protection.outlook.com.; 20 sacca-smtp007.verizon.net.; 10 rlymd-smtp007.verizon.net.
cfius.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cfo.gov,USA_united_states,central,member,Americas,English,84534,,,,none
cfpa.gov,USA_united_states,central,member,Americas,English,84534,,,,5 cfpa-gov.mail.protection.outlook.com.
cfpb.gov,USA_united_states,central,member,Americas,English,84534,,,,15 cec-mtpe-01-03-p.inet.qwest.net.; 5 cfpb-gov.mail.protection.outlook.com.; 10 stn-mtpe-01-03-p.inet.qwest.net.
cftc.gov,USA_united_states,central,member,Americas,English,84534,,,,0 cftc-gov.mail.protection.outlook.com.
cg.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Chhattisgarh,,registry,
cgeprocurement.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Chhattisgarh e-procurement,,registry,
cgg.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Centre for Good Governance (Telangana),,registry,
cgstate.gov.in,IND_india,central-1,member,Asia,English; Hindi; Tamil,2695,Chhattisgarh,,registry,
