hostname,country,label,website
uenp.edu.br,BRA_brazil,Universidade Estadual do Norte do Paraná,http://www.uenp.edu.br
uesb.br,BRA_brazil,State University of the Southwest of Bahia,http://www.uesb.br
uesc.br,BRA_brazil,State University of Santa Cruz,http://www.uesc.br
ufabc.br,BRA_brazil,Federal University of ABC,http://www.ufabc.br
ufabc.edu.br,BRA_brazil,Federal University of ABC,http://www.ufabc.edu.br/
ufal.edu.br,BRA_brazil,Universidade Federal de Alagoas,http://www.ufal.edu.br
ufba.br,BRA_brazil,Federal University of Bahia,http://www.ufba.br
ufc.br,BRA_brazil,Universidade Federal do Ceará,https://www.ufc.br/
ufca.edu.br,BRA_brazil,Federal University of Cariri,http://www.ufca.edu.br/
ufcat.edu.br,BRA_brazil,Universidade Federal de Catalão,https://ufcat.edu.br/
ufersa.edu.br,BRA_brazil,Universidade Federal Rural do Semi-Árido,https://ufersa.edu.br/
uff.br,BRA_brazil,Fluminense Federal University,https://www.uff.br/
uffs.edu.br,BRA_brazil,Federal University of Fronteira Sul,http://www.uffs.edu.br/
ufg.br,BRA_brazil,Universidade Federal de Goiás,https://www.ufg.br/
ufgd.edu.br,BRA_brazil,Federal University of Grande Dourados,http://www.ufgd.edu.br
ufmg.br,BRA_brazil,Federal University of Minas Gerais,http://www.ufmg.br
ufnt.edu.br,BRA_brazil,Universidade Federal do Norte do Tocantins,https://www.ufnt.edu.br
ufob.edu.br,BRA_brazil,Federal University of Western Bahia,https://www.ufob.edu.br
ufpa.br,BRA_brazil,Universidade Federal do Pará,http://www.ufpa.br
ufpe.br,BRA_brazil,Federal University of Pernambuco,https://www.ufpe.br/
ufpi.br,BRA_brazil,Universidade Federal do Piauí,http://www.ufpi.br/
ufra.edu.br,BRA_brazil,Federal Rural University of Amazonia,http://www.ufra.edu.br
ufrb.edu.br,BRA_brazil,Universidade Federal do Recôncavo da Bahia,http://www.ufrb.edu.br
ufrj.br,BRA_brazil,Federal University of Rio de Janeiro,https://ufrj.br/
ufsb.edu.br,BRA_brazil,Federal University of Southern Bahia,https://www.ufsb.edu.br/
ufsc.br,BRA_brazil,Universidade Federal de Santa Catarina,https://ufsc.br/
ufscar.br,BRA_brazil,Universidade Federal de São Carlos,http://www.ufscar.br
ufsj.edu.br,BRA_brazil,Universidade Federal de São João del-Rei,http://www.ufsj.edu.br
uft.edu.br,BRA_brazil,Universidade Federal do Tocantins,http://www.uft.edu.br
ufv.br,BRA_brazil,Federal University of Viçosa,http://www.ufv.br
unb.br,BRA_brazil,University of Brasília,https://unb.br/
uneb.br,BRA_brazil,Bahia State University,http://www.uneb.br
unesp.br,BRA_brazil,São Paulo State University,http://www.unesp.br
unicamp.br,BRA_brazil,University of Campinas,http://www.unicamp.br
unifesp.br,BRA_brazil,Universidade Federal de São Paulo,http://www.unifesp.br
unifesspa.edu.br,BRA_brazil,Federal University of South and Southeast of Pará,http://unifesspa.edu.br/
unilab.edu.br,BRA_brazil,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,http://www.unilab.edu.br
unipampa.edu.br,BRA_brazil,Universidade Federal do Pampa,https://unipampa.edu.br/
unirio.br,BRA_brazil,Federal University of the State of Rio de Janeiro,http://www.unirio.br/
unitau.br,BRA_brazil,Universidade de Taubaté,http://www.unitau.br/
