subdomain,http_status,mx
mail.ghanatrade.gov.gh,Could not resolve host: mail.ghanatrade.gov.gh,none
mail.gheiti.gov.gh,Could not resolve host: mail.gheiti.gov.gh,none
mail.gnhr.gov.gh,Could not resolve host: mail.gnhr.gov.gh,none
mail.grb.gov.gh,Could not resolve host: mail.grb.gov.gh,none
mail.gsstc.gov.gh,Resolving timed out after 3000 milliseconds,none
mail.judicial.gov.gh,Could not resolve host: mail.judicial.gov.gh,none
mail.kbth.gov.gh,200,none
mail.kbth.gov.gh.cp-1.webhostbox.net,SSL: no alternative certificate subject name matches target hostname 'mail.kbth.gov.gh.cp-1.webhostbox.net',none
mail.kroma.gov.gh,Could not resolve host: mail.kroma.gov.gh,none
mail.lgcsp.gov.gh,Could not resolve host: mail.lgcsp.gov.gh,none
mail.mbs.gov.gh,200,none
mail.mdf.gov.gh,Could not resolve host: mail.mdf.gov.gh,none
mail.meteo.gov.gh,Could not resolve host: mail.meteo.gov.gh,none
mail.mint.gov.gh,SSL certificate problem: self-signed certificate,none
mail.moe.gov.gh,Connection timed out after 3001 milliseconds,dig error
mail.mofa.gov.gh,Could not resolve host: mail.mofa.gov.gh,none
mail.mofep.gov.gh,Could not resolve host: mail.mofep.gov.gh,none
mail.moys.gov.gh,Connection timed out after 3002 milliseconds,none
mail.moys.gov.gh.cp-12.webhostbox.net,SSL: no alternative certificate subject name matches target hostname 'mail.moys.gov.gh.cp-12.webhostbox.net',none
mail.mpsr.gov.gh,Resolving timed out after 3000 milliseconds,none
mail.nadmo.gov.gh,Could not resolve host: mail.nadmo.gov.gh,none
mail.nadmo.gov.gh.cp-39.webhostbox.net,SSL: no alternative certificate subject name matches target hostname 'mail.nadmo.gov.gh.cp-39.webhostbox.net',none
mail.nadowli-kaleo.gov.gh,Could not resolve host: mail.nadowli-kaleo.gov.gh,none
mail.nandomdistrict.gov.gh,Could not resolve host: mail.nandomdistrict.gov.gh,none
mail.nanumbasouthdistrict.gov.gh,Could not resolve host: mail.nanumbasouthdistrict.gov.gh,dig error
mail.nnri.gov.gh,Could not resolve host: mail.nnri.gov.gh,none
mail.northgonjadistrict.gov.gh,Could not resolve host: mail.northgonjadistrict.gov.gh,none
mail.npc.gov.gh,Could not resolve host: mail.npc.gov.gh,none
mail.npra.gov.gh,Could not resolve host: mail.npra.gov.gh,none
mail.nscs.gov.gh,Could not resolve host: mail.nscs.gov.gh,none
mail.nya.gov.gh,200,0 nya.gov.gh.
mail.nya.gov.gh.cp-25.webhostbox.net,SSL: no alternative certificate subject name matches target hostname 'mail.nya.gov.gh.cp-25.webhostbox.net',none
mail.oop.gov.gh,Connection timed out after 3002 milliseconds,none
mail.pmmc.gov.gh,Could not resolve host: mail.pmmc.gov.gh,none
mail.portal.ppa.gov.gh,Could not resolve host: mail.portal.ppa.gov.gh,dig error
mail.ppa.gov.gh,Could not resolve host: mail.ppa.gov.gh,dig error
mail.presidency.gov.gh,Could not resolve host: mail.presidency.gov.gh,none
mail.psc.gov.gh,Could not resolve host: mail.psc.gov.gh,none
mail.psds.gov.gh,Could not resolve host: mail.psds.gov.gh,none
mail.rdmfa.gov.gh,Connection timed out after 3001 milliseconds,none
mail.rhnp.gov.gh,Could not resolve host: mail.rhnp.gov.gh,none
mail.secghana.gov.gh,Could not resolve host: mail.secghana.gov.gh,none
mail.secghana.gov.gh.cp-20.webhostbox.net,SSL: no alternative certificate subject name matches target hostname 'mail.secghana.gov.gh.cp-20.webhostbox.net',none
mail.shamadistrict.gov.gh,301,none
mail.sissalawest.gov.gh,Resolving timed out after 3000 milliseconds,none
mail.sltf.gov.gh,301,none
mail.smartworkplace.gov.gh,Could not resolve host: mail.smartworkplace.gov.gh,none
mail.spacecenter.gov.gh,Could not resolve host: mail.spacecenter.gov.gh,none
mail.spacecentre.gov.gh,Resolving timed out after 3000 milliseconds,dig error
mail.sportsauthority.gov.gh,200,none
mail.sridagricstat.gov.gh,Could not resolve host: mail.sridagricstat.gov.gh,none
mail.staging.nss.gov.gh,Could not resolve host: mail.staging.nss.gov.gh,none
mail.statsghana.gov.gh,Connection timed out after 3001 milliseconds,none
mail.upperwestrcc.gov.gh,Could not resolve host: mail.upperwestrcc.gov.gh,none
mail.wamunicipal.gov.gh,Could not resolve host: mail.wamunicipal.gov.gh,none
mail.yea.gov.gh,Could not resolve host: mail.yea.gov.gh,none
mboa.gnhr.gov.gh,Could not resolve host: mboa.gnhr.gov.gh,none
mbs.gov.gh,200,none
mdf.gov.gh,Failed to connect to mdf.gov.gh port 443 after 334 ms: Could not connect to server,none
meet.mofep.gov.gh,SSL certificate problem: unable to get local issuer certificate,none
messaging.presidentsecretariat.gov.gh,Could not resolve host: messaging.presidentsecretariat.gov.gh,none
metadata.lc.gov.gh,Connection timed out after 3000 milliseconds,none
meteo.gov.gh,301,dig error
mfa.gov.gh,200,none
mida.gov.gh,Could not resolve host: mida.gov.gh,none
mint.gov.gh,301,none
mobile.cybersecurity.gov.gh,Connection timed out after 3001 milliseconds,none
mobile.dvlaghana.gov.gh,Could not resolve host: mobile.dvlaghana.gov.gh,none
moc.gov.gh,Connection timed out after 3000 milliseconds,none
moe.gov.gh,301,none
mof-di-adrms-01.mofep.gov.gh,Could not resolve host: mof-di-adrms-01.mofep.gov.gh,none
mof-di-adrms-02.mofep.gov.gh,Could not resolve host: mof-di-adrms-02.mofep.gov.gh,none
mof-di-cas-01.mofep.gov.gh,Could not resolve host: mof-di-cas-01.mofep.gov.gh,none
mof-di-cas-02.mofep.gov.gh,Could not resolve host: mof-di-cas-02.mofep.gov.gh,none
mof-di-lync-01.mofep.gov.gh,Could not resolve host: mof-di-lync-01.mofep.gov.gh,none
