hostname,http_status,mx
vs.ch,HttpConnectTimeoutException: HTTP connect timed out,10 ktvmx04.mail.admin.ch.; 10 ktvmx02.mail.admin.ch.; 10 ktvmx03.mail.admin.ch.; 10 ktvmx01.mail.admin.ch.
vsa.zh.ch,HttpConnectTimeoutException: HTTP connect timed out,none
w3.jura.ch,HttpConnectTimeoutException: HTTP connect timed out,none
wali118.ch,HttpConnectTimeoutException: HTTP connect timed out,none
who.int,301,none
wissenschaftsrat.ch,200,none
wsu.bs.ch,HttpConnectTimeoutException: HTTP connect timed out,none
www4.ti.ch,307,none
zambianmission.ch,HttpConnectTimeoutException: HTTP connect timed out,none
zeneva.predstavnistvo.si,SSLHandshakeException: Remote host terminated the handshake,none
zg.ch,HttpConnectTimeoutException: HTTP connect timed out,20 mail2.zg.ch.; 10 mail1.zg.ch.
zh.ch,IOException: EOF reached while reading,120 smtagb02.abxsec.com.; 110 smtazh02.abxsec.com.; 10 smtazh01.abxsec.com.; 20 smtasg01.abxsec.com.
zvv.ch,HttpConnectTimeoutException: HTTP connect timed out,5 mail201.datazug.ch.; 10 mail20.datazug.ch.
