subdomain,http_status
daet.gov.ph,"Could not resolve host: daet.gov.ph"
dkis.dole.gov.ph,"Could not resolve host: dkis.dole.gov.ph"
dev1.portal.gov.ph,"Could not resolve host: dev1.portal.gov.ph"
dev.dinagatislands.gov.ph,"Could not resolve host: dev.dinagatislands.gov.ph"
dev2.portal.gov.ph,"Could not resolve host: dev2.portal.gov.ph"
cpanel.pinili.gov.ph,"Could not resolve host: cpanel.pinili.gov.ph"
cpanel.talibon-bohol.gov.ph,"Could not resolve host: cpanel.talibon-bohol.gov.ph"
ciiacfacadephilsinconline.miagaowaterdistrict.gov.ph,"Operation timed out after 3000 milliseconds with 0 bytes received"
dev3.portal.gov.ph,"Could not resolve host: dev3.portal.gov.ph"
cpanel.pikit.gov.ph,"200"
data.portal.gov.ph,"Could not resolve host: data.portal.gov.ph"
cpanel.rizalkalinga.gov.ph,"Could not resolve host: cpanel.rizalkalinga.gov.ph"
docutrack.dswd.gov.ph,"Could not resolve host: docutrack.dswd.gov.ph"
citem.gov.ph,"Resolving timed out after 3001 milliseconds"
dfa.gov.ph,"403"
dict.gov.ph,"403"
dole.gov.ph,"403"
cpanel.teresarizal.gov.ph,"Could not resolve host: cpanel.teresarizal.gov.ph"
doj.gov.ph,"403"
dti.gov.ph,"Could not resolve host: dti.gov.ph"
cnwd.gov.ph,"403"
cpanel.patnongonwd.gov.ph,"200"
cpanel.sibalomwd.gov.ph,"200"
cpanel.santotomas.gov.ph,"Could not resolve host: cpanel.santotomas.gov.ph"
dms.pcsd.gov.ph,"Could not resolve host: dms.pcsd.gov.ph"
cityofsanfernando.gov.ph,"Operation timed out after 3000 milliseconds with 0 bytes received"
cpanel.drhtagum.gov.ph,"Could not resolve host: cpanel.drhtagum.gov.ph"
cpanel.stacruz-is.gov.ph,"Could not resolve host: cpanel.stacruz-is.gov.ph"
dev4.portal.gov.ph,"Could not resolve host: dev4.portal.gov.ph"
dot.armm.gov.ph,"Could not resolve host: dot.armm.gov.ph"
cpanel.sanjoaquinwd.gov.ph,"200"
cpanel.ncwd.gov.ph,"Could not resolve host: cpanel.ncwd.gov.ph"
cpanel.zarragawaterdistrict.gov.ph,"Could not resolve host: cpanel.zarragawaterdistrict.gov.ph"
dinagat.gov.ph,"Could not resolve host: dinagat.gov.ph"
cpanel.talibonwd.gov.ph,"Could not resolve host: cpanel.talibonwd.gov.ph"
ebmagalona.gov.ph,"403"
